产品名称;产品编码;规格型号;库位号;成本价;销售价;寄卖时间点;保留价;地区;收货人;客户;到库时间;结款日期;计量单位;上期结存(数量);本期收入(数量);本期发出(数量);本期结存(数量)
浪琴手表 ;BA007 ;盒子 、卡片 ; ;19500 ; ; ; ;上海 ;兰岚 ;elisa ;（是）2016/10/3 ; ;个 ;1 ;0 ;0 ;1 
肖邦手表 ;AA008 ;无 ; ;22000 ; ; ; ;上海 ;颜熹 ;C01042 ;（是）2016/12/5 ; ;个 ;1 ;0 ;0 ;1 
95新施华洛世奇水晶手镯手表 ;BA024 ;全套 ; ;1800 ;1800 ; ; ;上海 ;颜（回收） ; ;（是）2016/3/12 ; ;个 ;1 ;0 ;0 ;1 
卡地亚 ;BA027 ;无 ; ;24750 ; ; ; ;上海 ;微信岚岚 ;C00499 ;（是）2017/1/12 ; ;个 ;1 ;0 ;0 ;1 
93新以上gucci 墨镜 ;BB001 ;眼镜盒 眼镜布 ; ;800 ;999 ;950 ; ;上海 ; ;C00435 ;（是）2015/9/9 ; ;个 ;1 ;0 ;0 ;1 
98新BOSS墨镜 ;BB004 ;眼镜盒 ; ;500 ;666 ;600 ; ;上海 ; ;C01076 ;（是）2016/6/7 ; ;个 ;1 ;0 ;0 ;1 
9新以上 chanel 女士黑色镜面墨镜 侧边大 ;BB014 ;盒子 眼镜绳 ; ;999 ;1500 ;1300 ; ;上海 ; ; ;（是）2016/8/21 ; ;个 ;1 ;0 ;0 ;1 
chanel墨镜 ;BB018 ;防尘袋 身份卡 说明书 内外盒子 ; ;2520 ; ; ; ;上海 ;岚岚 ;C00098 ;（是）2016/10/29 ; ;个 ;1 ;0 ;0 ;1 
Gm 经典镜框 ;旧A0038新BB034 ;盒子 ; ;800 ;1200 ; ; ;厦门 ;颜 ; ;2015/5/15 ; ;个 ;1 ;0 ;0 ;1 
95新以上Tom经典边框无58 ;旧A0044新BB035 ;无 ; ;800 ;1200特价888 ; ; ;厦门 ;颜寄卖 ; ;2015/6/9 ; ;个 ;1 ;0 ;0 ;1 
全新 dg镜片渐变色 ;旧BA0093新BB036 ;盒子 眼镜盒 说明书 ; ;850 ;1200 ; ; ;厦门 ;颜（回收） ; ;2016/4/18 ; ;个 ;1 ;0 ;0 ;1 
全新 dg侧边金色花卉 ;旧BA0094新BB037 ;全套 ; ;900 ;1200 ; ; ;厦门 ;颜（回收） ; ;2016/4/18 ; ;个 ;1 ;0 ;0 ;1 
95新 gucci黑色宽边logo墨镜 ;旧A0122新BB040 ;盒子 眼镜盒 眼镜布 ; ;500 ;666 ; ; ;厦门 ;琪琪 ;琪（寄卖） ;2016/6/8 ; ;个 ;1 ;0 ;0 ;1 
95新 gucci框架配皮墨镜 ;旧A0123新BB041 ;眼镜盒 ; ;500 ;666 ; ; ;厦门 ;琪 ;琪（寄卖） ;2016/6/8 ; ;个 ;1 ;0 ;0 ;1 
全新 chloe亮片边框 ;旧BA0162新BB045 ;眼镜盒 眼镜布 纸卡 ; ;1000 ;1500 ; ; ;厦门 ;颜（寄卖） ;C00702 ;2016/9/12 ; ;个 ;1 ;0 ;0 ;1 
全新 chloe亮片边框 ;旧BA01621新BB046 ;眼镜盒 眼镜布 纸卡 ; ;1000 ;1500 ; ; ;厦门 ;颜（寄卖） ;C00702 ;2016/9/12 ; ;个 ;1 ;0 ;0 ;1 
全新 chloe亮片边框 ;旧BA01622新BB047 ;眼镜盒 眼镜布 纸卡 ; ;1000 ;1500 ; ; ;厦门 ;颜（寄卖） ;C00702 ;2016/9/12 ; ;个 ;1 ;0 ;0 ;1 
全新 chloe亮片边框 ;旧BA01623新BB048 ;眼镜盒 眼镜布 纸卡 ; ;1000 ;1500 ; ; ;厦门 ;颜（寄卖） ;C00702 ;2016/9/12 ; ;个 ;1 ;0 ;0 ;1 
全新 chloe黄棕色平光镜 ;旧BA0165新BB050 ;盒子 身份卡（52） ; ;500 ;888 ; ; ;厦门 ;颜（寄卖） ; ;2016/10/4 ; ;个 ;1 ;0 ;0 ;1 
全新 chloe酒红色平光镜 ;旧BA0166新BB051 ;眼镜盒 身份卡（55） ; ;500 ;888 ; ; ;厦门 ;颜（寄卖） ; ;2016/10/4 ; ;个 ;1 ;0 ;0 ;1 
95新 tom ford黑框眼镜 ;旧A0174新BB053 ;眼镜盒 眼镜布（53） ; ;800 ;999 ; ; ;厦门 ;琪（寄卖） ;C01115 ;2016/11/17 ; ;个 ;1 ;0 ;0 ;1 
男士Burberry 大衣M码 ;BI007 ;无 ; ;3500 ;4900 ; ; ;上海 ; ;C00483 ;2016/1/22 ; ;件 ;1 ;0 ;0 ;1 
Gucci T恤 ;BI010 ;标签 ; ;400 ;550 ; ; ;上海 ;蓓蓓 ;蓓蓓 ;2016/3/25 ; ;件 ;1 ;0 ;0 ;1 
maje裙子 ;BI011 ;无 ; ;600 ; ; ; ;上海 ; ;C00160 ;2016/4/10 ; ;件 ;1 ;0 ;0 ;1 
全新Neil barrett男款双侧石膏人像黑色 ;BI014 ;无 ; ; ;2200 ;2200 ; ;上海 ;姐姐 ;姐姐 ;2016/6/3 ; ;件 ;1 ;0 ;0 ;1 
moschino上衣 ;BI016 ;无 ; ;1000 ; ; ; ;上海 ; ;C00787 ;2016/8/12 ; ;件 ;1 ;0 ;0 ;1 
moschino裤子 ;BI017 ;防尘袋 ; ;1500 ; ; ; ;上海 ; ;C00787 ;2016/8/12 ; ;件 ;1 ;0 ;0 ;1 
C家黑色皮裤 ;BI020 ;无 ; ;268 ;1500 ; ; ;上海 ; ;P0259 ;2016/3/25 ; ;件 ;1 ;0 ;0 ;1 
全新Chanel红色长袖衫 ;BI021 ;无 ; ;600 ;999 ;900 ; ;上海 ;岚岚 ;C01298 ;2016/11/16 ; ;件 ;1 ;0 ;0 ;1 
全新 thom browne秋冬款双袖标衬衣5 ;BI022 ;无 ; ;1800 ;1800 ; ; ;上海 ;岚岚 ;C00087 ;2016/12/21 ; ;件 ;1 ;0 ;0 ;1 
全新 hermes男士经典橙光色 ;旧BA0172新BI042 ;吊牌 ; ;1000 ;1200 ;1200 ; ;厦门 ;颜（回收） ;C00196 ;2016/2/27 ; ;件 ;1 ;0 ;0 ;1 
nell barret休闲卫衣l码 ;旧BA021新BI043 ;无 ; ;1500 ;1800 ; ; ;厦门 ;颜（寄卖） ;C00858 ;2016/3/30 ; ;件 ;1 ;0 ;0 ;1 
全新 mqueen黑色双骷髅头 ;旧BA029新BI045 ;m/l ; ;1600 ;1900 ;1800 ; ;厦门 ;黄敏婷（寄卖） ;C00858 ;2016/6/2 ; ;件 ;1 ;0 ;0 ;1 
全新 mqueen黑色双骷髅头 ;旧BA0291新BI046 ;m/l ; ;1600 ;1900 ;1800 ; ;厦门 ;黄敏婷（寄卖） ;C00858 ;2016/6/2 ; ;件 ;1 ;0 ;0 ;1 
全新 mqueen灰色双骷髅头s ;旧BA030新BI047 ;无 ; ;1600 ;1900 ;1800 ; ;厦门 ;黄敏婷（寄卖） ;C00858 ;2016/6/2 ; ;件 ;1 ;0 ;0 ;1 
全新 mqueen白色双骷髅头m ;旧BA031新BI048 ;无 ; ;1600 ;1900 ;1800 ; ;厦门 ;黄敏婷（寄卖） ;C00858 ;2016/6/2 ; ;件 ;1 ;0 ;0 ;1 
全新 mqueen鲨鱼单骷髅头m ;旧BA032新BI049 ;无 ; ;1600 ;1700 ;1600 ; ;厦门 ;黄敏婷（寄卖） ;C00858 ;2016/6/2 ; ;件 ;1 ;0 ;0 ;1 
全新 mqueen白色鸟树图s/m ;旧BA034新BI050 ;无 ; ;1000 ;1300 ;1200 ; ;厦门 ;黄敏婷（寄卖） ;C00858 ;2016/6/2 ; ;件 ;1 ;0 ;0 ;1 
全新 gucci米黄色裙子36 ;旧BA036新BI051 ;无 ; ;2000 ;2500 ; ; ;厦门 ;颜（寄卖） ;C01126 ;2016/9/8 ; ;件 ;1 ;0 ;0 ;1 
二手 mcqueen女士大雁紧身连 ;旧BA042新BI052 ;无 ; ;600 ;999 ;999 ;900 ;厦门 ;微信颜熹 ;doris ;2016/12/6 ; ;件 ;1 ;0 ;0 ;1 
未使用 ysl女士牛仔裤 ;旧BA043新BI053 ;无 ; ;1800 ;2300 ;2200 ;2200 ;厦门 ;微信颜熹 ;doris ;2016/12/6 ; ;件 ;1 ;0 ;0 ;1 
未使用SW高跟凉鞋（38.5） ;BG002 ;盒子、防尘袋 ; ;800 ;1200 ;1900 ; ;上海 ; ;C00425 ;(是）2016/1/17 ; ;双 ;1 ;0 ;0 ;1 
97新以上SW红色流苏高跟鞋（38.5） ;BG005 ;盒子、防尘袋、说明卡 ; ;1500 ;1999 ;1900 ; ;上海 ; ;C00769 ;(是）2016/3/22 ; ;双 ;1 ;0 ;0 ;1 
95新以上RV黑色平底鞋（36） ;BG007 ;盒子 ; ;2500 ;3500 ;3400 ; ;上海 ; ;C00701 ;(是）2016/3/30 ; ;双 ;1 ;0 ;0 ;1 
全新未使用ferragamo平底鞋（35.5-36） ;BG010 ;盒子、防尘袋 ; ;700 ;1500 ;1300 ; ;上海 ; ;c00483 ;(是）2016/3/13 ; ;双 ;1 ;0 ;0 ;1 
全新未使用ferragamo平底鞋（35.5-3 ;BG011 ;盒子、防尘袋 ; ;700 ;1500 ;1300 ; ;上海 ; ;c00483 ;(是）2016/3/13 ; ;双 ;1 ;0 ;0 ;1 
全新未使用ferragamo平底鞋（35.5-3 ;BG012 ;盒子、防尘袋 ; ;700 ;1500 ;1300 ; ;上海 ; ;c00483 ;(是）2016/3/13 ; ;双 ;1 ;0 ;0 ;1 
chanel凉鞋37码 ;BG013 ;防尘袋盒子说明书 ; ;2400 ; ; ; ;上海 ; ;C00302 ;(是）2016/7/13 ; ;双 ;1 ;0 ;0 ;1 
coach鞋子36码 ;BG014 ;盒子 ; ;200 ; ; ; ;上海 ; ;C01156 ;(是）2016/7/24 ; ;双 ;1 ;0 ;0 ;1 
cl蓝色休闲鞋36.5码 ;BG015 ;无 ; ;1000 ; ; ; ;上海 ; ;C01156 ;(是）2016/7/24 ; ;双 ;1 ;0 ;0 ;1 
cl裸色鞋子36.5码 ;BG016 ;无 ; ;800 ; ; ; ;上海 ; ;C01156 ;(是）2016/7/24 ; ;双 ;1 ;0 ;0 ;1 
dior蓝色花园鞋37码 ;BG017 ;盒子 鞋子 防尘袋 ; ;4000 ; ; ; ;上海 ; ;C01140 ;(是）2016/8/15 ; ;双 ;1 ;0 ;0 ;1 
RV鞋子 35码 ;AG019 ;盒子 ; ;1500 ; ; ; ;上海 ;提香奢品工坊 北京店 ;提香奢品工坊 北京店 ;(是）2016/9/19 ; ;双 ;1 ;0 ;0 ;1 
valentino黑色羊皮高跟鞋36码 ;BG021 ;盒子 ; ;3690 ; ; ; ;上海 ;兰岚 ;C00816 ;(是）2016/9/23 ; ;双 ;1 ;0 ;0 ;1 
gucci金色女鞋 35 ;BG024 ;无 ; ;0 ; ; ; ;上海 ; ;兰岚 ;(是） ; ;双 ;1 ;0 ;0 ;1 
tod's 鞋子 6.5 ;BG025 ;防尘袋 ; ;2000 ;2200 ;2100 ; ;上海 ; ;颜熹 ;(是）2016/6/25 ; ;双 ;1 ;0 ;0 ;1 
gucci鞋子36码 ;BG030 ;盒子 ; ;800 ; ; ; ;上海 ; ;elisa ;(是）2016/10/19 ; ;双 ;1 ;0 ;0 ;1 
9.5新jimmy Choo红色高跟鞋 37码 ;BG043 ;无 ; ;500 ; ; ; ;上海 ;微信岚岚 ;C00346 ;(是）2016/12/27 ; ;双 ;1 ;0 ;0 ;1 
PRADA高筒鞋 ;BG044 ;防尘袋盒子 ; ;4200 ; ; ; ;上海 ;韦达 ;韦达 ;(是）2016/12/27 ; ;双 ;1 ;0 ;0 ;1 
GZ高帮鞋38码 ;BG045 ;盒子 防尘袋 卡纸 ; ;2500 ; ; ; ;上海 ;岚岚 ;C01330 ;(是）2016/12/27 ; ;双 ;1 ;0 ;0 ;1 
二手 dior黑色网格高跟鞋36.5d ;旧BA0221新BG051 ;防尘袋 ; ;1800 ;2500 ;2400 ; ;厦门 ;颜（寄卖） ;C01015 ;2015/5/3 ; ;双 ;1 ;0 ;0 ;1 
二手 chanel银色平底鞋35.5 ;旧BA0222新BG052 ;无 ; ;1000 ;1480 ;1300 ; ;厦门 ; ;翅膀 ;2016/5/22 ; ;双 ;1 ;0 ;0 ;1 
