产品名称;产品编码;规格型号;库位号;成本价;销售价;寄卖时间点;保留价;地区;收货人;客户;到库时间;结款日期;计量单位;上期结存(数量);本期收入(数量);本期发出(数量);本期结存(数量)
全新 pinko粉色链条包37*6*15 ;BE463 ;无 ; ;2200 ;2500 ; ; ;厦门 ;微信颜熙 ;颜熙 ;2017/3/29 ; ;个 ;1 ;0 ;0 ;1 
百丽单肩包 ;BE464 ;无 ; ;500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
GUCCI 斜跨包 ;BE465 ;无 ; ;2000 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
LOEWE斜跨小包 ;BE466 ;无 ; ;1500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
菲拉格慕斜跨小包 ;BE467 ;无 ; ;500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
范思哲红色斜跨小包 ;BE468 ;无 ; ;500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
百丽男士公文包 ;BE469 ;无 ; ;1000 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
PARDA粉红小包 ;BE470 ;无 ; ;1000 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
MIUMIU 单肩小包 ;BE471 ;卡片 ; ;1500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
miumiu手提小包 ;BE472 ;肩带 ; ;1500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
Fendi金黄色手提包 ;BE473 ;无 ; ;1500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
Gucci黄色手拿包 ;BE474 ;配皮 卡片 防尘袋 ; ;1500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
valentino手拿包 ;BE475 ;无 ; ;2000 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
gucci购物袋 ;BE478 ;无 ; ;1000 ; ; ; ;上海 ;维真奢品 ;维真奢品 ; ; ;个 ;1 ;0 ;0 ;1 
Gucci 贝壳包 黄色 ;BE479 ; ; ;1500 ; ; ; ;上海 ;维真奢品 ;维真奢品 ; ; ;个 ;1 ;0 ;0 ;1 
Prada蓝色蝙蝠包 ;BE477 ; ; ;2000 ; ; ; ;上海 ;维真奢品 ;维真奢品 ; ; ;个 ;1 ;0 ;0 ;1 
爱马仕鞋子 ;BG147 ; ; ;2500 ; ; ; ;上海 ;维真奢品 ;维真奢品 ; ; ;个 ;0 ;1 ;0 ;1 
爱马仕水桶小包 ;BE483 ;锁 钥匙 ; ;5000 ; ; ; ;上海 ;兰岚 ;C01440 ; ; ;个 ;0 ;1 ;0 ;1 
全新 FENDI 手拿包 ;BE484 ;盒子 防尘袋 ; ;3047 ; ; ; ;上海 ;颜熹 ;颜熹 ; ; ;个 ;0 ;1 ;0 ;1 
fendi拼色手提包 ;BE501 ;防尘袋 ; ;4000 ; ; ; ;上海 ;琪琪 ;C01089 ; ; ;个 ;0 ;1 ;0 ;1 
Lv枕头包 ;BE502 ;肩带 ; ;2000 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
chanel链条包 ;BE503 ;防尘袋 身份卡 ; ;9500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
LV红色漆皮包 ;BE504 ;肩带 ; ;5000 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
chloe黑色小猪包 ;BE505 ;无 ; ;3800 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
miumiu 金色漆皮小包 ;BE506 ;防尘袋 卡片 ; ;2000 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
Gucci印花单肩包 ;BE507 ;防尘袋 ; ;1500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
LV 印花购物袋 ;BE508 ;无 ; ;2500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
LV 印花单肩包 ;BE509 ;无 ; ;1500 ; ; ; ;上海 ;兰岚 ;P0051 ; ; ;个 ;0 ;1 ;0 ;1 
欧米茄白盘手表 ;BA040 ;无 ; ;6000 ; ; ; ;上海 ;兰岚 ; ; ; ;个 ;0 ;1 ;0 ;1 
全新 宝格丽慈善款项链 ;BD144 ;纸袋子、盒子、保卡、说明书 ; ;2500 ; ; ; ;上海 ;岚岚 ;C00396 ; ; ;个 ;0 ;1 ;0 ;1 
LV 老花包 ;BE077 ;无 ; ;3628 ; ; ; ;上海 ;CICI ;CICI ;（是）2016/9/20 ; ;个 ;0 ;1 ;0 ;1 
95新以上ChanelJumbo樱花粉漆皮女士双 ;AE010 ;说明书、身份卡 ; ;11000 ;12000 ;12000 ; ;厦门 ; ;C00398 ;（是)2015/8/23 ; ;个 ;1 ;0 ;0 ;1 
92新Gucci手提单肩包 ;AE013 ;防尘袋 ; ;1500 ;1999 ;1900 ; ;上海 ; ;P0270 ;（是）2015/9/14 ; ;个 ;1 ;0 ;0 ;1 
9新以上BV深宝蓝色经典编织手拿包 ;AE019 ;无 ; ;2500 ;2999 ;2999 ; ;上海 ; ;C00241 ;（是）2016/2/18 ; ;个 ;1 ;0 ;0 ;1 
未使用Valentino黑色羊皮单肩斜挎手拿链条 ;AE023 ;防尘袋、吊牌、卡片 ; ;5000 ;7800 ;7000 ; ;上海 ; ; ;（是）2016/4/17 ; ;个 ;1 ;0 ;0 ;1 
9新LV alma深棕色水波纹手提包 ;AE026 ;防尘袋 ; ;2900 ;3200 ;3600 ; ;上海 ; ;P0183 ;（是）2016/5/11 ; ;个 ;1 ;0 ;0 ;1 
全新LV单肩斜挎棋盘格男士公文包 ;AE030 ;纸袋、防尘袋、说明书、纸卡 ; ;7000 ; ;9500 ; ;上海 ; ; ;（是）2016/7/18 ; ;个 ;1 ;0 ;0 ;1 
95新以上LV棋盘格男士手提单肩公文包 ;AE033 ;防尘袋、肩带、锁、钥匙、纸卡 ; ;8000 ;9600 ;9000 ; ;上海 ; ;P0145 ;（是）2016/7/27 ; ;个 ;1 ;0 ;0 ;1 
95新左右YSL圣罗兰大象灰皮拼布手提包 ;AE034 ;防尘袋 配皮 纸卡 ; ;2000 ;2800 ;2500 ; ;上海 ; ; ;（是）2016/7/29 ; ;个 ;1 ;0 ;0 ;1 
95新 LV 印花粉色牛仔布手提包 尺寸：5 ;AE045 ;无 ; ;2000 ;2600 ; ; ;上海 ; ;P0141 ;（是）2016/9/2 ; ;个 ;1 ;0 ;0 ;1 
全新 lv涂鸦围巾 ;AH022 ;防尘袋 ; ;2000 ;2500 ; ; ;上海 ;公司（回收） ; ;（是）2016/3/9 ; ;个 ;1 ;0 ;0 ;1 
MCQ围巾 ;AH002 ;吊牌 ; ;980 ; ; ; ;上海 ;兰岚 ;P0114 ;（是）2016/10/16 ; ;个 ;1 ;0 ;0 ;1 
全新MCQ围巾 ;AH005 ;吊牌 ; ;980 ; ; ; ;上海 ;兰岚 ;P0114 ;（是）2016/10/16 ; ;个 ;1 ;0 ;0 ;1 
全新 mqueen蓝色丝巾 ;AH026 ;无 ; ;752 ;1500 ; ; ;上海 ;公司 ; ;（是）2016/4/4 ; ;条 ;1 ;0 ;0 ;1 
蓝MCQ围巾 ;AH006 ;吊牌 ; ;980 ;1500 ; ; ;上海 ;兰岚 ;P0114 ;（是）2016/10/16 ; ;条 ;1 ;0 ;0 ;1 
全新Hermes灰色圆顶帽 ;AH018 ;无 ; ;400 ;1200 ;1100 ; ;上海 ;岚岚 ;C01298 ;（是）2016/11/16 ; ;个 ;1 ;0 ;0 ;1 
全新Hermes黄色鸭舌帽 ;AH019 ;无 ; ;400 ;1200 ;1100 ; ;上海 ;岚岚 ;C01298 ;（是）2016/11/16 ; ;个 ;1 ;0 ;0 ;1 
97新bv紫色手拿包 尺寸：28*15 ;AE048 ;防尘袋 说明书 镜子 纸卡 ; ;3500 ;3999 ;3900 ; ;上海 ; ;P0141 ;（是）2016/9/2 ; ;个 ;1 ;0 ;0 ;1 
全新LV裸色漆皮手提包38*27.5*18 ;AE061 ;防尘袋 保卡 说明书 ; ;4500 ;9999 ;9000 ; ;上海 ;兰岚 ;P0470 ;（是）2016/11/13 ; ;个 ;1 ;0 ;0 ;1 
celine单肩包 ;AE085 ;无 ; ;1700 ; ; ; ;上海 ;兰岚 ;C00309 ;（是）2016/10/10 ; ;个 ;1 ;0 ;0 ;1 
98新Burberry男士帆布配皮单肩斜跨包 尺 ;AE088 ;防尘袋 ; ;1800 ; ; ; ;上海 ;兰岚 ;C01216 ;（是）2016/10/11 ; ;个 ;1 ;0 ;0 ;1 
未使用GUCCI链条单肩链条包 尺寸：22*15 ;AE097 ;防尘袋 ; ;9500 ;12000 ;11500 ; ;上海 ;颜熹 ;P0069 ;（是）2016/10/18 ; ;个 ;1 ;0 ;0 ;1 
95新YSL深粉红手拿包 ;AE101 ;防尘袋 配皮 说明书 卡片 ; ;2000 ;2999 ;2800 ; ;上海 ; ;C01028 ;（是）2016/10/21 ; ;个 ;1 ;0 ;0 ;1 
95新LV 男士棕色棋盘格单肩包 ;AE106 ;无 ; ;2900 ; ; ; ;上海 ; ; ;（是）2016/10/16 ; ;个 ;1 ;0 ;0 ;1 
98新chanel粉色单肩链条包 ;AE108 ;无 ; ;6000 ;7500 ; ; ;厦门 ;韦达 ;韦达 ;（是）2016/10/28 ; ;个 ;1 ;0 ;0 ;1 
CHANEL手提包 ;AE110 ;盒子 ; ;6000 ;12800 ; ; ;厦门 ;颜熹 ; ;（是）2016/10/25 ; ;个 ;1 ;0 ;0 ;1 
chanel黑色珍珠手提单肩包 ;AE111 ;盒子防尘袋 ; ;8120.0 ;15800 ;15000 ;12900 ;上海 ;提香 北京店 ;提香 北京店 ;（是）2016/10/9 ; ;个 ;1 ;0 ;0 ;1 
全新Celine trio 黑色三层小包 si ;AE116 ;防尘袋 说明书 ; ;3000 ;5800 ; ; ;上海 ;兰岚 ;C00115 ;（是）2016/9/9 ; ;个 ;1 ;0 ;0 ;1 
全新Gucci女士帆布配皮单肩包 ;AE122 ;防尘袋 ; ;2000 ;2800 ;2500 ; ;上海 ; ;P0430 ;（是）2016/7/18 ; ;个 ;1 ;0 ;0 ;1 
LV老花饺子包 ;AE128 ;无 ; ;800 ; ; ; ;上海 ;维真奢品会 ;维真奢品会 ;(是)2016/10/31 ; ;个 ;1 ;0 ;0 ;1 
Chanel粉色leboy单肩包 ;AE133 ;全套 ; ;11730.0 ;18000 ; ; ;上海 ;琪琪 ; ;（是）2016/11/3 ; ;个 ;1 ;0 ;0 ;1 
LV老花包 ;AE139 ;发票 ; ;2230.0 ;6800 ;6500 ;6000 ;上海 ;小白姐 ;小白姐 ;(是）2016/11/4 ; ;个 ;1 ;0 ;0 ;1 
FYP棕色手提包 ;AE151 ;防尘袋 ; ;2680.0 ;3800 ; ; ;上海 ;小白姐 ;小白姐 ;（是）2016/11/4 ; ;个 ;1 ;0 ;0 ;1 
95新 Fendi 藏青色手提小包 ;AE175 ;肩带 卡片 防尘袋 雨衣 ; ;4680.0 ;7999 ;7800 ;6900 ;上海 ;提香奢品工坊 ;提香奢品工坊 ;（是）2016/11/21 ; ;个 ;1 ;0 ;0 ;1 
95新 紫色Lv 亮面单肩包 ;AE184 ;防尘袋 肩带 ; ;3000 ;4600 ;4500 ;4500 ;上海 ;awan维真奢品 ;awan维真奢品 ;（是）2016/11/28 ; ;个 ;1 ;0 ;0 ;1 
95新 miumiu女款粉白拼色手提包 ;AE208 ;防尘袋 ; ;1500 ;2500 ; ; ;上海 ;提香奢品工坊 ;提香奢品工坊 ;（是）2016/10/20 ; ;个 ;1 ;0 ;0 ;1 
全新 mcm新款小圆圆水钻全皮单肩斜挎包 ;AE210 ;防尘袋 纸卡 ; ;1800 ;2500 ;2200 ; ;上海 ;颜（回收） ;P0007 ;（是）2016/7/21 ; ;个 ;1 ;0 ;0 ;1 
97新 以上 chanel黑色镜面单肩手提包 ;AE211 ;防尘袋 身份卡 发票 ; ;7000 ;9999 ;9000 ; ;厦门 ;颜（回收） ;P0205 ;（是）2016/6/3 ; ;个 ;1 ;0 ;0 ;1 
98新 lv中号漆皮珠光面粉色链条包 ;AE212 ;防尘袋 ; ;8000 ;9800 ;9200 ; ;上海 ;颜回收 ; ;（是）2016/4/5 ; ;个 ;1 ;0 ;0 ;1 
99新 cl荧光红限量款铆钉手拿包 ;AE213 ;说明卡 ; ;1600 ;1999 ;2500 ; ;上海 ;颜（回收） ; ;（是）2016/5/10 ; ;个 ;1 ;0 ;0 ;1 
99新 lv限量走秀款手提老花包 ;AE217 ;防尘袋 钥匙锁说明书 ; ;7400 ;8800 ;8800 ; ;上海 ;颜（回收） ;P0388 ;（是）2016/3/28 ; ;个 ;1 ;0 ;0 ;1 
9新 lv棕棋盘格男士单肩斜跨包 ;AE230 ;无 ; ;1500 ;2500 ;2300 ; ;上海 ;提香 成都店 ;提香 成都店 ;（是）2016/10/27 ; ;个 ;1 ;0 ;0 ;1 
93新 lv roman深棕色男士单肩斜挎包 ;AE231 ;无 ; ;2000 ;3500 ;3200 ; ;上海 ;颜熹公司回收 ;C00216 ;（是）2016/10/13 ; ;个 ;1 ;0 ;0 ;1 
95新以上 gucci芥末黄竹节款双肩包 ;AE245 ;防尘袋 钥匙 锁 ; ;4800 ;6800 ;6300 ; ;上海 ;颜熹公司回收 ;P0055 ;(是)2016/9/26 ; ;个 ;1 ;0 ;0 ;1 
全新 gucci新款橘红色单肩斜挎包 ;AE246 ;防尘袋 ; ;2500 ;2999 ;2700 ; ;上海 ;颜熹公司回收 ;P0485 ;(是)2016/9/27 ; ;个 ;1 ;0 ;0 ;1 
全新 lv棋盘格双肩包30*12*40 ;AE251 ;防尘袋 ; ;8960 ;11000 ;10500 ; ;上海 ;公司回收 ;P0095 ;（是）2016/11/6 ; ;个 ;1 ;0 ;0 ;1 
95新gucci棕色手提包 尺寸：43*15*3 ;AE254 ;防尘袋 ; ;800 ;1800 ; ; ;上海 ;兰岚 ;C01332 ;（是）2016/12/28 ; ;个 ;1 ;0 ;0 ;1 
92新 lv老花大号派拉蒙手提单肩包 ;AE290 ;防尘袋 肩带 ; ;2000 ;3500 ;3200 ; ;上海 ;提香奢品工坊 ;提香奢品工坊 ;（是）2016/10/27 ; ;个 ;1 ;0 ;0 ;1 
未使用 chanel玫红色手拿包28*20 ;AE291 ;防尘袋 身份卡 ; ;4500 ;5800 ;5500 ; ;上海 ;公司回收 ;C01190 ;（是）2016/11/2 ; ;个 ;1 ;0 ;0 ;1 
95新 gucci经典帆布单肩包30*8*27 ;AE293 ;无 ; ;500 ;1600 ;1500 ; ;上海 ;提香奢品工坊 ;提香奢品工坊 ;（是）2016/11/12 ; ;个 ;2 ;0 ;0 ;2 
二手 9新以上 bv藏蓝色经典编织手提公文包 ;AE296 ;无 ; ;3000 ;4800 ;4800 ;4000 ;上海 ;颜 ;P0196 ;（是）2016/12/20 ; ;个 ;1 ;0 ;0 ;1 
二手 93新 hermes lindy30 5u ;AE298 ;防尘袋 ; ;25000 ;28888 ;28000 ; ;上海 ;颜 ;v信doris ;（是）2016/12/23 ; ;个 ;1 ;0 ;0 ;1 
全新 lv新款josh结绳双肩包 ;AE299 ;防尘袋 ; ;10640 ;14000 ; ; ;上海 ;颜熹 ;P0095 ;（是）2017/1/10 ; ;个 ;1 ;0 ;0 ;1 
全新 lv黑红老花mini双肩包 ;AE300 ;防尘袋 肩带 说明书 ; ;10080 ;13500 ;13000 ; ;上海 ;颜熹 ;P0095 ;（是）2017/1/10 ; ;个 ;1 ;0 ;0 ;1 
二手gucci手提包 ;AE302 ;无 ; ;1700 ;2500 ;2300 ; ;上海 ;颜熹 ; ;（是）2017/1/20 ; ;个 ;1 ;0 ;0 ;1 
95新 dior渐变色手提单肩两用包 ;AE304 ;肩带 身份卡 防尘袋 纸卡 ; ;8000 ;13800降价10800 ;10500 ; ;上海 ;提香奢品工坊 ;提香奢品工坊 ;（是）2016/10/20 ; ;个 ;1 ;0 ;0 ;1 
LV派拉蒙 ;AE305 ;无 ; ;1700.0 ; ; ; ;上海 ;岚岚 ;P0251 ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
GUCCI单肩包 ;AE306 ;肩带 ; ;1380 ; ; ; ;上海 ;岚岚 ;P0251 ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
LV派拉蒙 ;AE318 ;肩带 ; ;1000.0 ; ; ; ;上海 ;何可可 ; ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
93新以上 mcm限量款黑色铆钉 ;旧AB0903新AE324 ;无 ; ;2500 ;4800 ;4600 ; ;上海 ;兰岚颜（回收） ;C00115 ;2016/9/9 ; ;个 ;1 ;0 ;0 ;1 
未使用 mcm蓝色变形金刚中号双肩 ;旧A1102新AE328 ;防尘袋 纸卡 ; ;2500 ;3999 ;3900 ; ;上海 ;琪回收 ;P0416 ;2016/10/12 ; ;个 ;1 ;0 ;0 ;1 
9新BV橘色对折按扣钱包 18.5*9 ;AF003 ;盒子 纸卡 ; ;1000 ;1200 ;1200 ; ;上海 ;护理店老板 ;护理店老板 ;（是）2016/1/17 ; ;个 ;1 ;0 ;0 ;1 
全新LV女士新款zippy长款拉链钱包 ;AF004 ;盒子、防尘袋、发票、说明书 ; ;4500 ;4999 ;5300 ; ;上海 ; ;P0361 ;（是）2016/2/24 ; ;个 ;1 ;0 ;0 ;1 
95新以上LANCEL黑色长款钱包 ;AF006 ;无 ; ;400 ;599 ;500 ; ;上海 ; ;P0156 ;（是）2016/3/20 ; ;个 ;1 ;0 ;0 ;1 
95新LV橘红色水波纹钱包 ;AF007 ;无 ; ;2000 ;2400 ;2300 ; ;上海 ; ;P0060 ;（是）2016/3/24 ; ;个 ;1 ;0 ;0 ;1 
未使用Valentino彩虹系列铆钉卡包 ;AF008 ;盒子、防尘袋、链条、吊牌 ; ;2022 ;2900 ;2800 ; ;上海 ; ; ;（是）2016/7/11 ; ;个 ;1 ;0 ;0 ;1 
全新BV黑色牛皮长款编织钱包 ;AF020 ;盒子 防尘袋 纸卡 ; ;3600 ;4500 ; ; ;上海 ; ; ;（是）2016/9/7 ; ;个 ;1 ;0 ;0 ;1 
99新ferragamo 黑银长款钱包 ;AF021 ;盒子 ; ;1350 ;2500 ; ; ;上海 ; ; ;2016/9/7 ; ;个 ;1 ;0 ;0 ;1 
99新ferragamo 黑银长款钱包 ;AF022 ;盒子 ; ;1350 ;2500 ; ; ;上海 ; ; ;2016/9/7 ; ;个 ;1 ;0 ;0 ;1 
MCM橙色铆钉钱包 ;AF030 ;肩带 ; ;700 ;1600 ;1500 ;1500 ;上海 ;提香武汉店 ;提香武汉店 ;（是）2016/11/27 ; ;个 ;1 ;0 ;0 ;1 
96新YSL枚红色钱包12*24 ;AF031 ;防尘袋 ; ;1500 ;2500 ;2300 ;1900 ;上海 ; ; ;（是）2016/11/27 ; ;个 ;1 ;0 ;0 ;1 
95新 lv橘红色豆豆钱包 ;AF043 ;无 ; ;1200 ;2400 ;2200 ; ;上海 ;提香奢品工坊 ;提香奢品工坊 ;（是）2016/8/26 ; ;个 ;1 ;0 ;0 ;1 
全新 bally黑色大手包钱包 ;AF045 ;防尘袋 ; ;2000 ;2800 ;3000 ; ;上海 ;公司 ; ;（是）2016/6/12 ; ;个 ;1 ;0 ;0 ;1 
95新 chanel镜面香槟金色长款对折钱包 ;AF060 ;无 ; ;1600 ;1999 ; ; ;上海 ;颜熹公司回收 ; ;2016/10/5 ; ;个 ;1 ;0 ;0 ;1 
全新 gucci米白色长款卡包 ;AF062 ;无 ; ;500 ;999 ; ; ;上海 ;颜熹 ;P0485 ;（是）2016/9/27 ; ;个 ;1 ;0 ;0 ;1 
全新 gucci橘红色长款卡包 ;AF063 ;无 ; ;500 ;999 ; ; ;上海 ;颜熹 ;P0485 ;（是）2016/9/27 ; ;个 ;1 ;0 ;0 ;1 
95新 bv黑色经典编织长款拉链钱包 ;AF064 ;无 ; ;2000 ;2500 ; ; ;上海 ;颜熹公司回收 ;P0069 ;2016/10/10 ; ;个 ;1 ;0 ;0 ;1 
BV 紫色钱包 ;AF065 ;盒子 发票 ; ;2300 ; ; ; ;上海 ;岚岚 ;C01382 ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
玫粉色LV豆豆钱包 ;AF068 ;盒子防尘袋卡片 ; ;2500 ; ; ; ;上海 ;提香 武汉店 ;提香 武汉店 ;2017/2/9 ; ;个 ;1 ;0 ;0 ;1 
全新 shsh黑色长款大钱包 ;旧Ap223新AF069 ;防尘袋 ; ;745 ;1999 ;1600 ; ;厦门 ;公司回收 ;P0315 ;2016/8/8 ; ;个 ;1 ;0 ;0 ;1 
全新 shsh黑色长款大钱包 ;旧Ap2231新AF070 ;防尘袋 ; ;744 ;1999 ;1600 ; ;厦门 ;公司回收 ;P0315 ;2016/8/8 ; ;个 ;1 ;0 ;0 ;1 
98新 lv橘红色水波纹配经典老花 ;旧Ap210新AF071 ;盒子 防尘袋 ; ;2500 ;3500 ;3300 ; ;上海 ;颜（回收） ; ;（是）2016/7/17 ; ;个 ;1 ;0 ;0 ;1 
全新 ferragamo黑金长款钱包 ;旧Ap240新AF072 ;盒子 ; ;1350 ;2500 ;2300 ; ;厦门 ;公司回收 ;P0427 ;2016/9/2 ; ;个 ;1 ;0 ;0 ;1 
全新 lv黑色亮面水波纹钱包 ;旧Ap289新AF076 ;盒子 防尘袋 发票 说明书 ; ;3000 ;4999 ;4800 ; ;上海 ;公司回收 ; ;（是）2016/11/30 ; ;个 ;1 ;0 ;0 ;1 
93新 lv蓝色全皮压花长款对折 ;旧Ap298新AF081 ;无 ; ;1500 ;2200 ;2000 ;1800 ;上海 ;微信颜 ;P0197 ;（是）2016/12/21 ; ;个 ;1 ;0 ;0 ;1 
二手9新菲拉格慕女款对折钱包 ;旧Ap300新AF083 ;无 ; ;200 ;600 ; ; ;上海 ;武汉提香 ;武汉提香 ;2017/1/6 ; ;个 ;1 ;0 ;0 ;1 
9新 sf黑色长款钱包 ;旧Ap290新AF084 ;无 ; ;500 ;999 ;900 ; ;上海 ;武汉提香 ;武汉提香 ;2016/11/30 ; ;个 ;1 ;0 ;0 ;1 
95新Gucci棕色钱包 ;AF087 ;无 ; ;600 ; ; ; ;上海 ;微信兰岚 ;P0251 ;（是）2017/2/10 ; ;个 ;1 ;0 ;0 ;1 
95新以上Hermes宝蓝色鳄鱼皮皮带（85） ;AC001 ;无 ; ;6800 ;7500 ;7500 ; ;上海 ; ;C00196 ;（是）2016/3/28 ; ;个 ;1 ;0 ;0 ;1 
95新以上Hermes牛皮皮带（70 无扣头） ;AC002 ;无 ; ;100 ;500 ;500 ; ;上海 ; ;C00196 ;（是）2016/3/28 ; ;个 ;1 ;0 ;0 ;1 
92新Hermes鳄鱼皮腰带（85） ;AC003 ;无 ; ;5000 ;6666 ;6000 ; ;上海 ; ;C00196 ;（是）2016/4/7 ; ;个 ;1 ;0 ;0 ;1 
99新LV 老花皮带 85 ;AC010 ;盒子防尘袋 吊牌说明书 ; ;1100 ;2200 ;2000 ; ;上海 ; ;LV专柜 ;（是）2016/7/13 ; ;个 ;1 ;0 ;0 ;1 
全新 versace 竖条纹扣头 ;旧A0072新AC019 ;防尘袋 ; ;2000 ;2800 ; ; ;厦门 ; ; ;2015/7/25 ; ;个 ;1 ;0 ;0 ;1 
99新 hermes玫粉色鸵鸟皮女 ;旧A0144新AC020 ;无 ; ;4200 ;5999 ;6000 ; ;厦门 ;颜（回收） ; ;2016/4/3 ; ;个 ;1 ;0 ;0 ;1 
全新 gucci棕色85 ;旧A0134新AC025 ;无 ; ;700 ;799 ; ; ;厦门 ;公司回收 ; ;2016/3/26 ; ;个 ;1 ;0 ;0 ;1 
全新 lv肩带 ;旧A0165新AC028 ;防尘袋 ; ;2500 ;2999 ; ; ;厦门 ;公司回收 ;P0434 ;2016/7/16 ; ;个 ;1 ;0 ;0 ;1 
LV黑蓝棋盘格腰带90 ;旧A0173新AC029 ;盒子 防尘袋 ; ;2625 ;3200 ;3000 ; ;厦门 ;LV专柜 ;LV专柜 ;2016/8/14 ; ;个 ;1 ;0 ;0 ;1 
全新 lv黑蓝棋盘格皮带90 ;旧A01741新AC031 ;盒子 防尘袋 ; ;2625 ;3200 ;3000 ; ;上海 ;lv店员 ;lv店员 ;2016/12/11 ; ;个 ;1 ;0 ;0 ;1 
全新 lv 老花皮带90 ;旧A0175新AC032 ;盒子 防尘袋 ; ;2625 ;3200 ;3000 ; ;上海 ;lv店员 ;lv店员 ;2016/12/11 ; ;个 ;1 ;0 ;0 ;1 
欧米茄手表 ;AA002 ;盒子 ; ;9500 ; ; ; ;上海 ; ;C00622 ;（是）2016/5/12 ; ;个 ;1 ;0 ;0 ;1 
伯爵手表 ;AA010 ;无 ; ;40500 ; ; ; ;上海 ;兰岚 ;C00632 ;（是）2016/10/11 ; ;个 ;1 ;0 ;0 ;1 
肖邦手表 ;AA014 ;无 ; ;7000 ; ; ; ;上海 ;提香 河北店 ;提香 河北店 ;（是）2016/10/16 ; ;个 ;1 ;0 ;0 ;1 
95新 chanelj12黑陶瓷自动机械手表（38 ;AA022 ;盒子 ; ;10000 ;14800 ;14000 ; ;上海 ;颜（回收） ;C00196 ;（是）2016/8/7 ; ;个 ;1 ;0 ;0 ;1 
FRANCK MULLER镶钻手表 ;AA025 ;盒子、证书 ; ;47400 ; ; ; ;上海 ;颜（回收） ;P0093 ;（是）2017/1/7 ; ;个 ;1 ;0 ;0 ;1 
浪琴手表 ;AA026 ;无 ; ;3500 ; ; ; ;上海 ;兰岚 ;C00396 ;（是）2017/1/8 ; ;个 ;1 ;0 ;0 ;1 
全新雷朋墨镜 ;AB007 ;盒子 ; ;400 ;888 ;800 ; ;上海 ; ;C00482 ;（是）2016/9/2 ; ;个 ;1 ;0 ;0 ;1 
95新Valentino女士金属宽边墨镜 ;AB011 ;眼镜盒、眼镜布 ; ;800 ;999 ;1000 ; ;上海 ; ; ;（是）2016/5/10 ; ;个 ;1 ;0 ;0 ;1 
95新以上Prada墨镜 ;AB012 ;眼镜盒 ; ;400 ;699 ;600 ; ;上海 ; ;sunny ;（是）2016/7/28 ; ;个 ;1 ;0 ;0 ;1 
93新 burberry女士黑色墨镜 ;AB015 ;无 ; ;300 ;599 ;599 ; ;上海 ; ; ;（是）2016/8/21 ; ;个 ;1 ;0 ;0 ;1 
chloe墨镜 ;AB019 ;盒子、眼镜布 ; ;500 ; ; ; ;上海 ;兰岚 ;C01197 ;（是）2016/11/4 ; ;个 ;1 ;0 ;0 ;1 
98新rv红色镜框墨镜 ;AB023 ;盒子 眼镜布（62） ; ;400 ;999 ; ; ;上海 ;提香奢品工坊 ;提香奢品工坊 ;（是）2016/10/26 ; ;个 ;1 ;0 ;0 ;1 
全新 ray-ban淡粉 ;AB026 ;全套（1副) ; ;400 ;888 ; ; ;上海 ;颜（回收） ; ;（是）2016/8/21 ; ;个 ;1 ;0 ;0 ;1 
全新 ray-ban茶色 ;AB028 ;全套 ; ;400 ;888/800 ; ; ;上海 ;颜（回收） ; ;（是）2016/8/21 ; ;个 ;1 ;0 ;0 ;1 
